B00, 0
B01, 0
B02, 0
B03, 1
S03, Blotteritem, {'type': 'Trade', 'time': 168.7936507936339, 'price': 78.96299999999982, 'party1': 'S03', 'party2': 'B09', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 183.99999999997965, 'price': 77.98899999999995, 'party1': 'S03', 'party2': 'B15', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 220.5714285713999, 'price': 82.99399999999997, 'party1': 'S03', 'party2': 'B07', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 265.3333333332945, 'price': 82.95499999999979, 'party1': 'S03', 'party2': 'B09', 'qty': 1}
S04, 9
S04, Blotteritem, {'type': 'Trade', 'time': 26.777777777777686, 'price': 75.97699999999989, 'party1': 'S04', 'party2': 'B13', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 57.52380952381503, 'price': 82.99799999999999, 'party1': 'S04', 'party2': 'B11', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 89.22222222222342, 'price': 80.98599999999993, 'party1': 'S04', 'party2': 'B15', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 126.8571428571355, 'price': 81.95999999999981, 'party1': 'S04', 'party2': 'B16', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 147.23809523808325, 'price': 78.99599999999998, 'party1': 'S04', 'party2': 'B11', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 184.03174603172567, 'price': 77.99199999999996, 'party1': 'S04', 'party2': 'B16', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 212.50793650790968, 'price': 82.99599999999998, 'party1': 'S04', 'party2': 'B16', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 244.79365079361662, 'price': 81.96599999999984, 'party1': 'S04', 'party2': 'B07', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 259.82539682535923, 'price': 82.97399999999988, 'party1': 'S04', 'party2': 'B16', 'qty': 1}
S05, 9
S05, Blotteritem, {'type': 'Trade', 'time': 18.19047619047613, 'price': 75, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 56.38095238095764, 'price': 81, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 84.34920634920866, 'price': 80, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 108.8730158730126, 'price': 81, 'party1': 'B06', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 127.74603174602419, 'price': 80.001, 'party1': 'B14', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 173.49206349204553, 'price': 77.00200000000001, 'party1': 'B14', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 205.158730158705, 'price': 78.00500000000002, 'party1': 'B14', 'party2': 'S05', 'qty': 1}
